     18 00
      1 0000F0
      1 00BC0747000D002422409D
      7 00BC0747000E002422409E
      1 00C0
     14 00C901000000000000400A
      1 00D0FF
     11 001E080100000000004067
      1 000000002C00E1000000404D
      2 0000002C00E0000000404C
      3 0000002C00E1000000404D
      2 0000002D00E0000000404D
     18 003F4E4E0030793F304033
      3 003F4E4E0030793F3F4042
     12 00000000008C01000040CD
      8 00000000192D0200004088
     10 000700C901000007004018
      7 0002440C00030100004096
      1 00000000002500E1004046
      5 00000000002600E0004046
      1 00000000002600E1004047
      2 00000000002700E0004047
      5 00000000002700E1004048
      1 000000002700E0004047
     38 0000000000000000004040
      7 000000200029B000004039
      1 0000200029B000004039
      2 000000230029B00000403C
      1 00001900001E7319AA0040AD
      8 001900001E7319AA0040AD
      1 005000000F00010D0640B3
      1 005000000F01010D0640B4
      1 005000000F03010D0640B6
      1 005000000F04010D0640B7
      1 005000000F05010D0640B8
      1 005000000F06010D0640B9
      1 005000000F09010D0640BC
      1 005000000F0C010D0640BF
     12 0000000000010000004041
     11 0000000200000000004042
      1 00000200000000004042
     11 0000001900000007004060
